field_size_x, field_size_y, cell_volume, cell_density, barrier_density, simulation_nr, number_of_cells, mean_speed, mean_xdir, mean_ydir, avg_group_velocity
300,300,200,1,10,3,3,0.25451871750652144,0.05984424058697107,0.07510583362565572,0.14208207734771325
300,300,200,1,10,4,3,0.26525262270641736,0.023781556714639517,-0.043473347499919546,0.1395697147881898
300,300,200,1,10,5,3,0.26735530025593396,0.00811434220245403,-0.0021763919311727437,0.16166603094197848
300,300,200,1,10,6,3,0.2630963363778048,0.07726922196863639,0.0002862117481096087,0.1609702638006419
300,300,200,1,10,7,3,0.2708072067020181,0.04649311976701849,0.08131183715568502,0.15969629054324405
300,300,200,1,10,8,3,0.2525018397443401,0.0996899963693674,0.03415115833684032,0.16476897513399988
300,300,200,1,10,9,3,0.2660448053242008,0.026018273339186465,-0.06261924982928496,0.13778889878359776
300,300,200,1,11,0,0,NaN,NaN,NaN,NaN
300,300,200,1,11,1,0,NaN,NaN,NaN,NaN
300,300,200,1,11,2,0,NaN,NaN,NaN,NaN
300,300,200,1,11,3,0,NaN,NaN,NaN,NaN
300,300,200,1,11,4,0,NaN,NaN,NaN,NaN
300,300,200,1,11,5,0,NaN,NaN,NaN,NaN
300,300,200,1,11,6,0,NaN,NaN,NaN,NaN
300,300,200,1,11,7,0,NaN,NaN,NaN,NaN
300,300,200,1,11,8,0,NaN,NaN,NaN,NaN
300,300,200,1,11,9,0,NaN,NaN,NaN,NaN
300,300,200,1,12,0,3,0.26416418282278475,0.04928815979986094,0.031357249058483985,0.15092674893350794
300,300,200,1,12,1,3,0.2666784892504325,-0.07173190674504014,-0.012979296462879725,0.17205766813558637
300,300,200,1,12,2,3,0.2377782724360517,-0.04689909829935292,-0.009523016291093492,0.12350215560593403
300,300,200,1,12,3,3,0.24301908950429213,0.04461676909569802,0.05418651838844976,0.17028487598518324
300,300,200,1,12,4,3,0.24091511757619719,0.030918580858085996,-0.02833470847084708,0.12600439612782957
300,300,200,1,12,5,3,0.23283649063592446,-0.04760200824003973,-0.04090537877317134,0.14451817263859515
300,300,200,1,12,6,3,0.2612324635868016,-0.02079893864013255,0.08125734660033158,0.14210198609824368
300,300,200,1,12,7,3,0.2583694918205084,-0.08860853032240514,-0.04332852760249759,0.14732208336534633
300,300,200,1,12,8,3,0.2543048083345584,-0.03895415841584158,0.013060704070407037,0.12936162364312162
300,300,200,1,12,9,3,0.23587567146393396,0.012387562285640336,-0.03879494812226325,0.12972033303960842
300,300,200,1,13,0,0,NaN,NaN,NaN,NaN
300,300,200,1,13,1,0,NaN,NaN,NaN,NaN
300,300,200,1,13,2,0,NaN,NaN,NaN,NaN
300,300,200,1,13,3,0,NaN,NaN,NaN,NaN
300,300,200,1,13,4,0,NaN,NaN,NaN,NaN
300,300,200,1,13,5,0,NaN,NaN,NaN,NaN
300,300,200,1,13,6,0,NaN,NaN,NaN,NaN
300,300,200,1,13,7,0,NaN,NaN,NaN,NaN
300,300,200,1,13,8,0,NaN,NaN,NaN,NaN
300,300,200,1,13,9,0,NaN,NaN,NaN,NaN
300,300,200,1,14,0,3,0.22629408791815425,-0.025035451170543233,0.02553803697249796,0.1255906898574026
300,300,200,1,14,1,3,0.23295777168014026,-0.04528413218460542,0.03437725195162404,0.14520432155108368
300,300,200,1,14,2,3,0.23267300494455667,-0.01794884488448827,-0.01547257425742577,0.1137299459270014
300,300,200,1,14,3,3,0.25630869650618676,0.08379732823857095,0.06853823076888943,0.14750794489091829
300,300,200,1,14,4,3,0.2204045374746785,-0.03373281988815395,-0.03280433644504472,0.11728190878551102
300,300,200,1,14,5,3,0.2508666699921709,-0.11370006600660063,-0.07442293729372933,0.16672327389559413
300,300,200,1,14,6,3,0.1936862960102974,-0.0350845107794362,-0.04604213930348263,0.11315959929732383
300,300,200,1,14,7,3,0.24269786405205016,0.05053830345175027,-0.005700668275782734,0.12485444133992452
300,300,200,1,14,8,3,0.23344431316152303,0.032349999999999914,0.030963333333333405,0.17318307350709874
300,300,200,1,14,9,3,0.2220430544500906,0.028949326765188865,-0.02635197044334993,0.13710552502598777
300,300,200,1,15,0,3,0.17390275066999955,-0.0338557460223634,-0.05685173144180083,0.13210138182340195
